KD ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested,,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rRMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested,,,,,,,,,,,,,,,,,,
Alexandra Bay,37.45,33.83,43.65,65.69,66.06,74.72,40.7,81.98,51.53,42.11,43.81,61.09,37.88,71.15,41.86,42.48,54.91,,,,,,,,,,,,,,,,,,
Upington,50.58,56.01,71.03,81.86,82.1,92.93,47.92,83.51,75.08,88.5,63.4,101.46,47.08,89.21,76.55,91.47,74.35,,,,,,,,,,,,,,,,,,
De Aar,62.08,62.08,71.32,98.52,98.74,108.94,68.39,99.88,81.83,87.84,62.41,96.96,69.73,98.73,76.3,87.2,78.33,,,,,,,,,,,,,,,,,,
Bethlehem,60.56,54.56,54.35,66.55,66.74,72.6,56.17,76.78,61.78,60.27,62.17,67.11,56.95,69.13,55.74,58.58,63,,,,,,,,,,,,,,,,,,
Mahikeng,46.16,50.05,49.18,55.86,56.05,63.08,40.77,63.39,63.53,58.49,58.59,66.25,41.53,61.43,51.99,58.53,54.2,,,,,,,,,,,,,,,,,,
Irene,44.52,42.23,40.9,43.16,43.34,49.66,33.71,51.72,53.85,46.99,36.91,54.87,36.4,46.16,44.45,47.56,37.81,,,,,,,,,,,,,,,,,,
Pretoria,34.77,34.3,32.53,47.77,48.02,54.97,35.02,61.11,56.81,48.41,37.22,45.75,36.72,50.21,34.38,34.71,41.58,,,,,,,,,,,,,,,,,,
