DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
,17,18,17,15,14,18,23,21,17,13,14,12,24,12,14,11,12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rRMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site,,National-Climate,,Climate-Site ,,Dirindex-National,,,,,,,,,,
Alexandra Bay,499.46,710.81,730.1,610.56,607.57,761.84,998.24,890.55,767.88,535.04,598.16,465.69,782.84,474.02,582.64,446.37,465.45,,1,,1,,0,,0,,,,,,,,,,
Upington,519.5,384.24,408.06,419.53,417.74,522.07,680.07,606.16,494.24,396.32,410.95,358.48,682.04,358.21,381.58,346.12,355.97,,2,,1,,1,,-1,,,,,,,,,,
De Aar,696.21,696.21,494.24,456.46,454.04,564.03,765.42,676.9,556.27,405.74,437.39,341.65,724.17,341.14,402.52,322.98,325.88,,0,,0,,0,,2,,,,,,,,,,
Bethlehem,603.21,881.57,529.47,549.9,546.61,737.16,980.17,865.59,675.3,469.54,477.67,378.56,993.15,385.03,450.74,379.7,387.55,,1,,-2,,2,,-1,,,,,,,,,,
Mahikeng,906.22,886.9,733.05,763.24,758.23,999.76,1355.97,1197.15,927.57,669.8,708.56,508.64,1624.65,519.7,625.84,479.42,559.41,,1,,1,,1,,0,,,,,,,,,,
Irene,250.59,258,232.8,210.42,210.56,207.07,234.25,219.3,209.21,201.32,221.93,210.58,319.34,210.19,203.64,215.9,215.79,,0,,0,,0,,5,,,,,,,,,,
Pretoria,443.94,574.86,468.08,372.53,370.65,463.46,633.38,556.98,431.31,336.14,366.34,303.62,769.17,296.4,354.11,295.77,300.54,,0,,0,,0,,2,,,,,,,,,,
Thohoyandou,726.79,784.13,777.15,745.66,743.92,865.2,1036.32,950.99,784.85,692.27,702.39,632.75,1235.6,639.91,696.64,619.5,678.57,,1,,0,,0,,-1,,,,,,,,,,
Nelspruit,1230.24,1146.71,1202.72,1164.77,1155.79,1623.59,2192.46,1931.8,1521.1,1057.73,1037.64,677.52,2822.74,714.91,989.58,627.24,659.58,,1,,0,,1,,-1,,,,,,,,,,
Durban,487.16,507.32,663.17,459.88,457.47,597.33,809.5,709.02,581.76,450.12,607.15,395.59,767.48,391.74,502.22,385.9,385.88,,2,,1,,1,,0,,,,,,,,,,
