DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,0.65,0.72,0.53,0.01,0,-0.21,0.58,-0.4,0.37,0.59,0.53,0.16,0.64,-0.15,0.57,0.57,0.3,,,,,,,,,,,,,,,,,,
Upington,0.85,0.81,0.7,0.38,0.38,0.25,0.64,0.39,0.61,0.59,0.8,0.4,0.68,0.31,0.64,0.56,0.52,,,,,,,,,,,,,,,,,,
De Aar,0.72,0.72,0.66,0.33,0.33,0.18,0.68,0.36,0.51,0.4,0.63,0.39,0.66,0.33,0.62,0.52,0.61,,,,,,,,,,,,,,,,,,
Bethlehem,0.45,0.4,0.48,0.16,0.16,0.08,0.24,-0.06,0.36,0.42,0.36,0.36,0.19,0.16,0.46,0.46,0.3,,,,,,,,,,,,,,,,,,
Mahikeng,0.69,0.65,0.63,0.51,0.51,0.46,0.41,0.42,0.4,0.54,0.57,0.55,0.41,0.48,0.57,0.57,0.51,,,,,,,,,,,,,,,,,,
Irene,0.6,0.63,0.64,0.63,0.62,0.54,0.65,0.51,0.33,0.49,0.61,0.47,0.61,0.59,0.6,0.57,0.67,,,,,,,,,,,,,,,,,,
Pretoria,0.66,0.68,0.71,0.42,0.41,0.26,0.71,0.11,0.19,0.4,0.65,0.44,0.71,0.34,0.68,0.67,0.57,,,,,,,,,,,,,,,,,,
Thohoyandou,0.73,0.7,0.73,0.64,0.64,0.56,0.67,0.37,0.47,0.6,0.73,0.68,0.53,0.62,0.74,0.77,0.77,,,,,,,,,,,,,,,,,,
Nelspruit,0.54,0.51,0.48,0.6,0.6,0.59,0.34,0.52,0.24,0.36,0.6,0.66,0.16,0.61,0.45,0.52,0.51,,,,,,,,,,,,,,,,,,
Durban,0.56,0.57,0.52,0.43,0.43,0.34,0.33,0.12,0.33,0.2,0.45,0.57,0.01,0.48,0.49,0.56,0.54,,,,,,,,,,,,,,,,,,
Mthatha,0.71,0.56,0.68,0.36,0.35,0.2,0.64,-0.12,0.34,0.61,0.53,0.49,0.67,0.23,0.74,0.77,0.41,,,,,,,,,,,,,,,,,,
George,0.8,0.82,0.81,0.35,0.35,0.24,0.52,-0.02,0.66,0.73,0.72,0.67,0.47,0.38,0.8,0.83,0.66,,,,,,,,,,,,,,,,,,
Stellenboch,0.79,0.68,0.64,0.16,0.15,-0.07,0.58,-0.37,0.44,0.6,0.69,0.3,0.68,0.05,0.66,0.66,0.44,,,,,,,,,,,,,,,,,,
Cape Point,0.66,0.69,0.68,0.55,0.55,0.47,0.67,0.57,0.63,0.47,0.7,0.59,0.71,0.51,0.66,0.57,0.45,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.672,0.653,0.635,0.395,0.391,0.278,0.547,0.171,0.42,0.5,0.612,0.481,0.509,0.353,0.62,0.614,0.519,,,,,,,,,,,,,,,,,,
